time,cx,cy,px,py,theta,v,omega
1774377068.879887,1714,1028,1724,452,0.017359367166188598,0.0,0.0008637257587241548
1774377068.910311,1823,647,1548,473,-1.006659608766117,3582.712045577437,-33.65839559607838
1774377068.946228,1707,591,792,987,-1.9792440048487945,-3229.664473902567,-27.078631654312122
1774377068.981246,1459,658,923,1000,-2.1387318163509352,-7082.078705847109,-4.5544565874252765
1774377069.011602,1882,741,906,990,-1.820590748503402,13934.674227549049,10.480359666335588
1774377069.051003,1910,1075,1763,420,-0.22076944367341414,710.6408810359434,40.603515055873395
1774377069.115566,1674,1074,1735,691,0.15794235875284127,-3655.342356082231,5.865768187105665
1774377069.182462,1503,1056,1581,694,0.21222498117422628,-2556.20811028505,0.8114484191876344
1774377069.255147,1512,1062,1454,837,-0.25228542244403457,123.82196593223841,-6.390732374665624
1774377069.317504,1528,1040,1489,823,-0.17782510500842588,256.5872816810938,1.1940981527446366
1774377069.383666,1541,1026,1586,703,0.13842785776731667,196.48708487084872,4.779970979813437
1774377069.453749,1554,1025,1679,533,0.24880090920480102,185.49459940329785,1.5748926893319806
1774377069.5171971,1583,1037,1668,537,0.1683901571475299,457.06583095659494,-1.2673450761000469
1774377069.583967,1602,1057,1679,535,0.1464534422632497,284.5596226428569,-0.3285422794470903
1774377069.654539,1598,1058,1689,531,0.17098937337094103,-56.67959229867466,0.34767164296307856
1774377069.716054,1554,1040,1686,533,0.2547005790464415,-715.2743903384338,1.3608291273645192
1774377069.784849,1534,1031,1700,636,0.3978431748550105,-290.7189469999688,2.080713236215466
1774377069.851956,1530,1024,1701,636,0.4151113128152951,-59.60633395744439,0.2573225995209873
1774377069.918245,1545,1038,1683,531,0.26575129806609005,226.28125033718533,-2.2531580591887046
1774377069.986031,1542,1032,1704,661,0.4117032281367911,-44.25694036543974,2.153128621786616
1774377070.055263,1525,1050,1706,637,0.41304536214699067,-245.5512363110407,0.019386039147035086
1774377070.116866,1525,1037,1693,647,0.40674707172597097,0.0,-0.10223988012340111
1774377070.183566,1533,1021,1694,633,0.3933261875852655,119.94006291106663,-0.2012127110197938
1774377070.255222,1535,1050,1692,628,0.3561712479995378,27.91113536318779,-0.518518274094155
1774377070.316824,1540,1048,1699,627,0.3611113682064353,81.16635768663619,0.0801943127456042
1774377070.384207,1442,897,1748,749,1.1203058532668462,-1454.3716656346749,11.266846405897644
1774377070.453938,1440,896,1699,634,0.7796400696464252,-28.68164924625521,-4.885428258000794
1774377070.516196,1551,1072,1700,630,0.32514037192108103,1782.9032547131878,-7.300261174240325
1774377070.584736,1676,1065,1688,624,0.027204171397213112,1823.7499913036825,-4.34688914491565
1774377070.655744,1521,1015,1692,628,0.4160645057238227,-2182.8536509204946,5.47629161601938
1774377070.717791,1544,1056,1678,623,0.3001209901798129,370.6867093957978,-1.8686400109908485
1774377070.7856152,1564,1077,1662,553,0.18488701432886856,294.8803234027595,-1.6990116032956124
1774377070.854114,1576,1077,1661,640,0.19210926547976662,175.18542315657575,0.10543609366776187
1774377070.9177458,1537,1046,1660,563,0.2493581971701591,-612.9013567336478,0.8996909719126535
1774377070.986349,1520,1077,1117,822,-1.0066402782464505,-247.80157293140059,-18.308141047510407
1774377071.0557818,1517,1076,1647,556,0.24497866312686414,-43.207285163895584,18.026352172149974
1774377071.119374,1535,1041,1652,645,0.2872814533971342,283.0536020245571,0.6652198423160735
1774377071.186029,1534,1028,1650,554,0.2400085251253937,-15.002643335682171,-0.7092188822942086
1774377071.259361,1588,1061,1647,644,0.1405538720674008,736.3763090218059,-1.356223154331279
1774377071.31994,1592,1070,1643,640,0.11805315874911705,66.02941512159221,-0.3714272350562241
1774377071.385043,1422,864,1654,644,0.8119406011488455,-2611.25418862452,10.658332296472036
1774377071.4544199,1537,1075,874,700,-1.0560468622837613,1657.611172969332,-26.925190350891572
1774377071.516999,1505,1024,974,737,-1.0752840435481466,-511.3523826940368,-0.30740557737063967
1774377071.5871649,1500,1007,1000,761,-1.1135691753170693,-71.2597138265086,-0.5456375067327222
1774377071.654746,1524,1043,1021,785,-1.09686427027771,355.1284714382479,0.24718280800619782
1774377071.7182899,1582,1077,1644,560,0.11935265418567421,912.756290287481,19.139821519966347
1774377071.784866,1539,1031,1644,557,0.21799870468744134,-645.8760425582203,1.481700481676272
1774377071.855891,1532,1027,969,750,-1.1135634551804727,-98.55699227928835,-18.747823072784932
